Sr No,Store Name,Store Category,Emails,Store Website,Page id,Page Link,Subscribers
0,Keekir,Home Decor,,http://keekir.com,304829256583695,https://www.facebook.com/keekir/,7
1,Discount Hockey,Sporting Goods Store,[support@discounthockey.com],http://www.discounthockey.com/,158744694140219,https://www.facebook.com/DiscountHockey/,2536
2,BauBax,Clothing (Brand),[support@baubax.com],http://baubax.com/,863708580374055,https://www.facebook.com/baubax/,31898
3,OSTRICHPILLOW,Website,,http://www.ostrichpillow.com,387455244657187,https://www.facebook.com/Ostrichpillow/,12029
4,Slim Wallet Junkie,Retail Company,[info@slimwalletjunkie.com],http://www.slimwalletjunkie.com,403111269800876,https://www.facebook.com/slimwalletjunkie/,984
5,Julez Jadon,Musician/Band,,https://julezjadon.com,950465048321261,https://www.facebook.com/julez.jadon/,8025
6,The Awkward Store,Product/Service,,http://TheAwkwardStore.com,133706557382520,https://www.facebook.com/theawkwardstore/,4736
7,Trimr,Product/Service,,https://trimr.com,250941008325704,https://www.facebook.com/trimr/,2953
8,EWheels Shop,Website,,http://www.ewheelsshop.com,969531896511284,https://www.facebook.com/ewheelsshop/,0
9,Ciaté London,Beauty/Cosmetics Company,[info@ciate.co.uk],http://www.ciatelondon.com,106183968297,https://www.facebook.com/ciatelondon/,88703
10,Divan Base Direct,Furniture,[info@divanbasedirect.co.uk],http://www.divanbasedirect.co.uk,1576347376004982,https://www.facebook.com/divanbasedirect/,633
11,Momentary,Jewelry/Watches,,http://www.momentarywatches.com,1665929980349913,https://www.facebook.com/momentarywatches/,13510
12,Midori Bikinis,Retail Company,[info@midoribikinis.com],midoribikinis.com,324739294241561,https://www.facebook.com/midoribikinis/,11691
13,What It Takes Fitness,Personal Trainer,[lukasgrounds@gmail.com],www.witfitness.com.au,315940468459849,https://www.facebook.com/witfitness/,140
14,Vape Pen Sales,E-Cigarette Store,[contact@vapepensales.com],http://VapePenSales.com,705813322834678,https://www.facebook.com/VapePenSales/,1364
15,U-Lace No-Tie Sneaker Laces,Clothing (Brand),,http://www.u-lace.com,102367259309,https://www.facebook.com/ulace/,73656
16,Giant Hugs,Retail Company,,http://www.gianthugs.com,349111402146949,https://www.facebook.com/gianthugs/,819
17,Gameday Couture,Clothing (Brand),[info@gamedaycouture.com],http://WWW.GAMEDAYCOUTURE.COM,139473049428736,https://www.facebook.com/gamedaycouture/,177941
18,Easyflexibility,Dance Studio,[info@easyflexibility.com],http://www.easyflexibility.com,392256364244796,https://www.facebook.com/easyflexibility/,230979
19,Desert Farms,Food & Beverage Company,[camelmilk@desertfarms.com],desertfarms.com,293869327412882,https://www.facebook.com/DesertFarms/,25807
20,Republica Bio,Company,[razvan@republicabio.ro],http://www.republicabio.ro,636038389785763,https://www.facebook.com/Republica.Bio/,61141
21,Shop Sincerely Jules,Clothing (Brand),,http://shopsincerelyjules.com,621080251368530,https://www.facebook.com/shopsincerelyjules/,5752
22,Brandnameswatch.com,Jewelry/Watches,,http://brandnameswatch.com,386553024833054,https://www.facebook.com/Brandnameswatch/,5757
23,Mesokawaii,Arts & Crafts Store,[mesookawaii@gmail.com],https://www.mesokawaii.com/,101994739973244,https://www.facebook.com/MeSoKawaii/,1027
24,Donachelli's Cellars,Home Decor,[info@ksecommerce.com],https://www.donachelliscellars.com/,498208110567521,https://www.facebook.com/DonachellisCellars/,52
25,Glam Seamless,Shopping & Retail,[info@glamseamless.com],http://www.glamseamless.com http://www.youtube.com/glamseamless,500320796653782,https://www.facebook.com/glamseamless/,46148
26,Preston's Stylez,Clothing (Brand),,http://Www.prestonsstylez.com,517857701697509,https://www.facebook.com/prestonsstylez/,394
27,Soko,Jewelry/Watches,[info@shopsoko.com],http://www.shopsoko.com,181127661941861,https://www.facebook.com/ShopSoko/,11976
28,Dux,Outdoor & Sporting Goods Company,[support@duxsports.com],http://www.duxsports.com,460808404062165,https://www.facebook.com/duxsports/,50738
29,Kreation Juice,Smoothie & Juice Bar,,http://kreationjuice.com/,103035477768,https://www.facebook.com/KreationJuice/,9536
30,Fused Hawaii,Clothing (Brand),[getfused@fusedhawaii.com],http://www.fusedhawaii.com,176331542392976,https://www.facebook.com/fusedhawaii/,15507
31,The Glorious Dead,Book,,https://unbound.co.uk/books/the-glorious-dead,976367279126850,https://www.facebook.com/TheGloriousDead/,208
32,Pop & Suki,Company,,http://www.instagram.com/popandsuki,561633184016251,https://www.facebook.com/popandsuki/,10210
33,Bakdrop,Website,[help@bakdrop.com],https://bakdrop.com,278597905653518,https://www.facebook.com/bakdrop/,2216
34,Tees in the Trap,Website,,http://www.teesinthetrap.com/,223749287823200,https://www.facebook.com/teesinthetrap/,75114
35,Foundry35,Internet Company,[ask@foundry35.com],http://www.foundry35.com,387342198093255,https://www.facebook.com/Foundry35/,4109
