Sr No,Store Name,Store Category,Email,Store Website,Page Id,Page Link,Subscribers
0,BeeFriendly Skin Care,Skin Care Service,[help@beefriendlyskincare.com],http://beefriendlyskincare.com,152069098315296,https://www.facebook.com/beefriendlyskincare/,14510
1,Fidget360,Games/Toys,[support@fidget360.com],fidget360.com,339902536355803,https://www.facebook.com/fidget360/,607
2,Somethin' Sweet,Clothing (Brand),,http://www.sthsweet.com,936786143013938,https://www.facebook.com/sthsweet/,18
3,Blade City,Website,[support@blade-city.com],http://www.Blade-City.com,1150937424917756,https://www.facebook.com/Blade.city/,871908
4,Wanderer Bracelets,Jewelry/Watches,[info@wandererbracelets.com],http://www.wandererbracelets.com,512544298881474,https://www.facebook.com/wandererbracelets/,332055
5,Bourbon & Boots,Accessories,[customerservice@bourbonandboots.com],https://www.bourbonandboots.com,310388692306885,https://www.facebook.com/bourbonandboots/,395174
6,Bottle Cutting Inc.,Product/Service,,http://www.bottlecutting.com,398948513491170,https://www.facebook.com/bottlecutting/,212401
7,LuminAID,Product/Service,,www.luminaid.com,102172893182514,https://www.facebook.com/LuminAID/,21602
8,Mobicity,Computer Company,[contato@mobi-city.net],http://www.mobicity.com.br,1652000078372315,https://www.facebook.com/Mobicity/,999
9,My Gear Global,Website,,https://www.mygearglobal.com,291310157874266,https://www.facebook.com/mygearglobal/,352
10,Duke & Dexter,Clothing (Brand),[info@dukeanddexter.com],http://www.dukeanddexter.com,626634910739782,https://www.facebook.com/dukeanddexter/,72662
11,Sparks Warehouse,Company,[info@sparkswarehouse.com],http://www.sparkswarehouse.com,367700686740435,https://www.facebook.com/sparkswarehouse/,745
12,Mandu Apparel,Clothing (Brand),,http://www.manduapparel.com,361669057497842,https://www.facebook.com/manduapparel/,2117
13,Costbuys,Brand,,https://www.costbuys.com/,341961906136605,https://www.facebook.com/costbuys/,698
14,Laura's Boutique,Arts & Crafts Store,[laurawalker_12@hotmail.co.uk],,759504724144337,https://www.facebook.com/laurasboutique/,632
15,River Babe Threads,Shopping & Retail,[hello@riverbabethreads.com],http://riverbabethreads.com,257539351089516,https://www.facebook.com/riverbabethreads/,95673
16,Blenders Eyewear,Retail Company,[support@blenderseyewear.com],http://www.blenderseyewear.com,197109710335504,https://www.facebook.com/BlendersEyewear/,356775
17,Obsessive Compulsive Cosmetics,Health/Beauty,[info@occmakeup.com],http://www.occmakeup.com/,57321029760,https://www.facebook.com/occmakeup/,143601
18,Playful Promises,Shopping & Retail,[customerservices@playfulpromises.com],www.playfulpromises.com,343962243881,https://www.facebook.com/PlayfulPromises/,74148
19,Beckett Simonon,Clothing (Brand),,http://www.beckettsimonon.com,413026312096053,https://www.facebook.com/BeckettSimonon/,21465
20,Once Upon a Tee,Clothing (Brand),,http://www.onceuponatee.net,219966874819477,https://www.facebook.com/OnceUponATee/,294689
21,Tha Alumni Music Group,Musician/Band,,http://www.tha-alumni.com/,194987570545427,https://www.facebook.com/ThaAlumni/,293189
22,GMYLE,Product/Service,[support@gmyle.com],https://www.gmyle.com,152311424930549,https://www.facebook.com/GMYLE/,74175
23,GearrUp,Website,,http://www.gearrup.com,113493989074596,https://www.facebook.com/gearrup/,19326
24,ReKtarma,Performing Arts,,,230268017466479,https://www.facebook.com/Rektarmy/,34
25,Planet Superheroes,Retail Company,[care@planetsuperheroes.com],http://www.planetsuperheroes.com,302009323249402,https://www.facebook.com/planetsuperheroes/,244089
26,REASON CLOTHING,Clothing Store,[info@reasonclothing.com],www.reasonclothing.com www.twitter.com/reasonclothing www.instagram.com/reasonclothing,23150530666,https://www.facebook.com/reasonclothing/,39352
27,Sportique,Sports & Recreation,[connect@sportique.com],http://www.sportique.com,187383207961315,https://www.facebook.com/Sportique/,9211
28,Standards Manual,Bookstore,[contact@standardsmanual.com],http://www.standardsmanual.com,134702840247394,https://www.facebook.com/standardsmanual/,13494
29,ChiliPad,Mattress Store,[help@chilitechnology.com],www.chilitechnology.com,166208158503,https://www.facebook.com/ChiliTechnology/,14296
30,Kawaii Pen Shop,Office Supplies,[info@kawaiipenshop.com],http://www.kawaiipenshop.com,1737351073198235,https://www.facebook.com/kawaiipenshop/,116076
31,My Makeup Brush Set,Health/Beauty,,http://www.mymakeupbrushset.com,643767688992692,https://www.facebook.com/mymakeupbrushset/,592439
32,GoldieBlox,Games/Toys,[info@goldieblox.com],http://www.goldieblox.com/,235288203208755,https://www.facebook.com/GoldieBlox/,235999
33,Legging Superstore,Shopping & Retail,,https://www.LeggingSuperstore.com,167316663757406,https://www.facebook.com/LeggingSuperstore/,802
34,Print Gaze,Website,,https://printgaze.com/,149148855522952,https://www.facebook.com/printgaze/,51274
35,HeroMart,Shopping Mall,[heromart@battleon.com],http://www.heromart.com/,113847615341319,https://www.facebook.com/HeroMart/,12955
36,Oz Naturals,Product/Service,,https://oznaturalsblog.wordpress.com/,129605880400141,https://www.facebook.com/OzNaturals/,684
