Sr No,Store Name,Store Category,Emails,Store Website,Page id,Page link,Subscribers
0,Fashion Nova,Women's Clothing Store,[info@fashionnova.com],http://www.FashionNova.com,148180961913768,https://www.facebook.com/FashionNova/,1392509
1,Kylie Cosmetics,Brand,[customerservice@kyliecosmetics.com],https://www.kyliecosmetics.com/,559929417490965,https://www.facebook.com/kyliecosmetics/,3723342
2,Skinnydip London,Retail Company,,www.SkinnydipLondon.com,172743909405016,https://www.facebook.com/skinnydiplondon/,70531
3,The GLD Shop,Website,[thegldshop@gmail.com],http://thegldshop.com,949058178452529,https://www.facebook.com/thegldshop/,65279
4,Morphe Brushes,Health/Beauty,[info@morphebrushes.com],http://morphebrushes.com,320577181361519,https://www.facebook.com/MorpheBrushesCosmetics/,439459
5,Deal Man,Shopping & Retail,,https://www.shopdealman.com,219191084911788,https://www.facebook.com/shopdealman/,5080057
6,citiesocial,App Page,[service@citiesocial.com],https://citiesocial.com,206280986051177,https://www.facebook.com/citiesocial/,624144
7,Gymshark,Clothing (Brand),,https://www.gymshark.com,129669023798560,https://www.facebook.com/Gymshark/,1367621
8,BAJAAO (www.bajaao.com),Retail Company,[helpdesk@bajaao.com],www.bajaao.com,195546030030,https://www.facebook.com/bajaao/,230102
9,PopSockets,Electronics,,http://popsockets.com/,297561083628867,https://www.facebook.com/PopSockets/,198160
10,Phonebibi,Accessories,[info@phonebibi.com],https://phonebibi.com/,277759005897498,https://www.facebook.com/phonebibi/,155818
11,Magnetphonecable,Website,[magnetphonecable@gmail.com],www.magnetphonecable.net,1311006052330036,https://www.facebook.com/magnetphonecable/,36
12,RadioShack,Product/Service,,http://www.RadioShack.com,101504357409,https://www.facebook.com/RadioShack/,2720069
13,Elemental Knives,Product/Service,,https://www.elementalknives.com,901901499906981,https://www.facebook.com/elementalknives/,22268
14,Antsy Labs,Retail Company,,http://www.antsylabs.com,939703419378026,https://www.facebook.com/antsylabs/,24291
15,Hawkers Co.,Clothing (Brand),,http://www.hawkersco.com,636758826348325,https://www.facebook.com/Hawkersco/,6214711
16,Muse-Themes.com,Website,[contact@musethemes.com],http://www.muse-themes.com,220268241427487,https://www.facebook.com/MuseThemes/,29694
17,Faraday Science Shop,Games/Toys,,http://faradayscienceshop.com,1050224028393006,https://www.facebook.com/faradayscienceshop/,705652
