,Link,Ranking,about,category,email,facebook page,facebook subscribers,instagram Url,name
0,http://beefriendlyskincare.com,"335,901",BeeFriendly Skincare Certified Organic and Handmade by Holistic BeeKeepers in Hawaii as seen at http://BeeFriendlySkincare.com,Skin Care Service,[help@beefriendlyskincare.com],https://www.facebook.com/beefriendlyskincare/,14514,https://www.instagram.com/beefriendlyskincare,BeeFriendly Skin Care
1,fidget360.com,"336,904","as many people's hands who struggle with attention disorders. We all personally know the struggle of experimenting with medicine, and not being able to foc",Games/Toys,[support@fidget360.com],https://www.facebook.com/fidget360/,607,https://www.instagram.com/fidget360,Fidget360
2,http://www.sthsweet.com,"337,638","somethin' sweet, Korean fashion to your taste.",Clothing (Brand),,https://www.facebook.com/sthsweet/,18,https://www.instagram.com/sthsweet,Somethin' Sweet
3,http://www.Blade-City.com,"337,793","The Ultimate Knife Store

This is our only page. All others are store affiliates.",Website,[support@blade-city.com],https://www.facebook.com/Blade.city/,872328,https://www.instagram.com/blade-city,Blade City
4,http://www.wandererbracelets.com,"337,806",Hand carved in a hut in Bali. Support jobs for village artisans. Fight Ivory Trade- Carved from Sustainable water buffalo bone.,Jewelry/Watches,[info@wandererbracelets.com],https://www.facebook.com/wandererbracelets/,332682,https://www.instagram.com/wandererbracelets,Wanderer Bracelets
5,https://www.bourbonandboots.com,"337,827",Bourbon & Boots is a Southern Lifestyle Brand producing rare & unique handcrafted products celebrating life in the South. ,Accessories,[customerservice@bourbonandboots.com],https://www.facebook.com/bourbonandboots/,395255,https://www.instagram.com/bourbonandboots,Bourbon & Boots
6,http://www.bottlecutting.com,"338,530",The Do It Yourself Glassware Company ,Product/Service,,https://www.facebook.com/bottlecutting/,212392,https://www.instagram.com/bottlecutting,Bottle Cutting Inc.
7,www.luminaid.com ,"338,780","Makers of brilliant things. Give Light, Get Light and join us in our mission to make the world a brighter place.  As seen on ABC's Shark Tank. luminaid.com",Product/Service,,https://www.facebook.com/LuminAID/,21603,https://www.instagram.com/luminaid,LuminAID
8,http://www.mobicity.com.br,"338,821","A Mobicity conecta colaboradores em organizações por suas afinidades e localizações, oferecendo aos gestores um mapa modal e gráficos para decisões de mobi",Computer Company,[contato@mobi-city.net],https://www.facebook.com/Mobicity/,999,https://www.instagram.com/mobicity,Mobicity
9,https://www.mygearglobal.com,"339,165","Thanks for checking us out!  To get updates on the amazing deals we offer, LIKE US!",Website,,https://www.facebook.com/mygearglobal/,352,https://www.instagram.com/mygearglobal,My Gear Global
