,apps,link,name,ranking
0,"['product', 'shopify'], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['loox', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], None, ['shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['optimizely', 'product', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['shopify'], ['yotpo', 'product', 'shopify'], ['judge', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'recart', 'kit', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'loox', 'product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], None, [], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['optimizely', 'yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['judge', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['pushcrew', 'product', 'shopify'], None, None, ['product', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], None, ['product', 'shopify'], ['product', 'kit', 'shopify'], ['judge', 'product', 'shopify'], ['pushcrew', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['kit', 'shopify']",https://colourpop.com,colourpop,"1,759"
1,"['product', 'shopify'], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['loox', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], None, ['shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['optimizely', 'product', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['shopify'], ['yotpo', 'product', 'shopify'], ['judge', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'recart', 'kit', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'loox', 'product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], None, [], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['optimizely', 'yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['judge', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['pushcrew', 'product', 'shopify'], None, None, ['product', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], None, ['product', 'shopify'], ['product', 'kit', 'shopify'], ['judge', 'product', 'shopify'], ['pushcrew', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['kit', 'shopify']",https://jeffreestarcosmetics.com,jeffreestarcosmetics,"6,997"
2,"['product', 'shopify'], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['loox', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], None, ['shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['optimizely', 'product', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['shopify'], ['yotpo', 'product', 'shopify'], ['judge', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'recart', 'kit', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'loox', 'product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], None, [], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['optimizely', 'yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['judge', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['pushcrew', 'product', 'shopify'], None, None, ['product', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], None, ['product', 'shopify'], ['product', 'kit', 'shopify'], ['judge', 'product', 'shopify'], ['pushcrew', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['kit', 'shopify']",https://fashionnova.com,fashionnova,"12,571"
3,"['product', 'shopify'], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['loox', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], None, ['shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['optimizely', 'product', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['shopify'], ['yotpo', 'product', 'shopify'], ['judge', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'recart', 'kit', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'loox', 'product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], None, [], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['optimizely', 'yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['judge', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['pushcrew', 'product', 'shopify'], None, None, ['product', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], None, ['product', 'shopify'], ['product', 'kit', 'shopify'], ['judge', 'product', 'shopify'], ['pushcrew', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['kit', 'shopify']",https://kyliecosmetics.com,kyliecosmetics,"13,249"
4,"['product', 'shopify'], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['loox', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], None, ['shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['optimizely', 'product', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['shopify'], ['yotpo', 'product', 'shopify'], ['judge', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'recart', 'kit', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'loox', 'product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], None, [], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['optimizely', 'yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['judge', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['pushcrew', 'product', 'shopify'], None, None, ['product', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], None, ['product', 'shopify'], ['product', 'kit', 'shopify'], ['judge', 'product', 'shopify'], ['pushcrew', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['kit', 'shopify']",https://skinnydiplondon.com,skinnydiplondon,"16,367"
5,"['product', 'shopify'], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['loox', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], None, ['shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['optimizely', 'product', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['shopify'], ['yotpo', 'product', 'shopify'], ['judge', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'recart', 'kit', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'loox', 'product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], None, [], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['optimizely', 'yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['judge', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['pushcrew', 'product', 'shopify'], None, None, ['product', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], None, ['product', 'shopify'], ['product', 'kit', 'shopify'], ['judge', 'product', 'shopify'], ['pushcrew', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['kit', 'shopify']",https://mvmtwatches.com,mvmtwatches,"16,802"
6,"['product', 'shopify'], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['loox', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], None, ['shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['optimizely', 'product', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['shopify'], ['yotpo', 'product', 'shopify'], ['judge', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'recart', 'kit', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'loox', 'product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], None, [], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['optimizely', 'yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['judge', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['pushcrew', 'product', 'shopify'], None, None, ['product', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], None, ['product', 'shopify'], ['product', 'kit', 'shopify'], ['judge', 'product', 'shopify'], ['pushcrew', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['kit', 'shopify']",https://countryrebel.com,countryrebel,"17,261"
7,"['product', 'shopify'], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['loox', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], None, ['shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['optimizely', 'product', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['shopify'], ['yotpo', 'product', 'shopify'], ['judge', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'recart', 'kit', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'loox', 'product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], None, [], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['optimizely', 'yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['judge', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['pushcrew', 'product', 'shopify'], None, None, ['product', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], None, ['product', 'shopify'], ['product', 'kit', 'shopify'], ['judge', 'product', 'shopify'], ['pushcrew', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['kit', 'shopify']",https://thegldshop.com,thegldshop,"22,208"
8,"['product', 'shopify'], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['loox', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], None, ['shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['optimizely', 'product', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['shopify'], ['yotpo', 'product', 'shopify'], ['judge', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'recart', 'kit', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'loox', 'product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], None, [], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['optimizely', 'yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['judge', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['pushcrew', 'product', 'shopify'], None, None, ['product', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], None, ['product', 'shopify'], ['product', 'kit', 'shopify'], ['judge', 'product', 'shopify'], ['pushcrew', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['kit', 'shopify']",https://morphebrushes.com,morphebrushes,"22,604"
9,"['product', 'shopify'], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], [], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['loox', 'kit', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], None, ['shopify'], ['yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'yotpo', 'product', 'kit', 'shopify'], ['optimizely', 'product', 'shopify'], ['yotpo', 'judge', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'shopify'], ['product', 'shopify'], ['shopify'], ['yotpo', 'product', 'shopify'], ['judge', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'recart', 'kit', 'shopify'], ['loox', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'kit', 'shopify'], ['powr', 'loox', 'product', 'shopify'], ['powr', 'product', 'shopify'], ['product', 'shopify'], None, [], ['product', 'shopify'], ['shopify'], ['product', 'kit', 'shopify'], ['optimizely', 'yotpo', 'product', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['judge', 'product', 'kit', 'shopify'], ['powr', 'product', 'shopify'], ['yotpo', 'product', 'kit', 'shopify'], ['product', 'shopify'], ['pushcrew', 'product', 'shopify'], None, None, ['product', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], ['powr', 'yotpo', 'product', 'shopify'], ['yotpo', 'product', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['yotpo', 'product', 'globo', 'kit', 'shopify'], ['product', 'shopify'], ['optimizely', 'product', 'kit', 'shopify'], ['product', 'shopify'], None, ['product', 'shopify'], None, ['product', 'shopify'], ['product', 'kit', 'shopify'], ['judge', 'product', 'shopify'], ['pushcrew', 'product', 'kit', 'shopify'], ['product', 'kit', 'shopify'], ['product', 'shopify'], ['product', 'shopify'], ['kit', 'shopify']",https://shopdealman.com,shopdealman,"23,043"
