,category,emails,fan_count,id,link,name,website
0,Home Decor,,7,304829256583695,https://www.facebook.com/keekir/,Keekir,http://keekir.com
1,Sporting Goods Store,[support@discounthockey.com],2536,158744694140219,https://www.facebook.com/DiscountHockey/,Discount Hockey,http://www.discounthockey.com/
2,Clothing (Brand),[support@baubax.com],31898,863708580374055,https://www.facebook.com/baubax/,BauBax,http://baubax.com/
3,Website,,12029,387455244657187,https://www.facebook.com/Ostrichpillow/,OSTRICHPILLOW,http://www.ostrichpillow.com
4,Retail Company,[info@slimwalletjunkie.com],984,403111269800876,https://www.facebook.com/slimwalletjunkie/,Slim Wallet Junkie,http://www.slimwalletjunkie.com
5,Musician/Band,,8025,950465048321261,https://www.facebook.com/julez.jadon/,Julez Jadon,https://julezjadon.com
6,Product/Service,,4736,133706557382520,https://www.facebook.com/theawkwardstore/,The Awkward Store,http://TheAwkwardStore.com
7,Product/Service,,2953,250941008325704,https://www.facebook.com/trimr/,Trimr,https://trimr.com
8,Website,,0,969531896511284,https://www.facebook.com/ewheelsshop/,EWheels Shop,http://www.ewheelsshop.com
9,Beauty/Cosmetics Company,[info@ciate.co.uk],88703,106183968297,https://www.facebook.com/ciatelondon/,Ciaté London,http://www.ciatelondon.com
10,Furniture,[info@divanbasedirect.co.uk],633,1576347376004982,https://www.facebook.com/divanbasedirect/,Divan Base Direct,http://www.divanbasedirect.co.uk
11,Jewelry/Watches,,13510,1665929980349913,https://www.facebook.com/momentarywatches/,Momentary,http://www.momentarywatches.com
12,Retail Company,[info@midoribikinis.com],11691,324739294241561,https://www.facebook.com/midoribikinis/,Midori Bikinis,midoribikinis.com
13,Personal Trainer,[lukasgrounds@gmail.com],140,315940468459849,https://www.facebook.com/witfitness/,What It Takes Fitness,www.witfitness.com.au
14,E-Cigarette Store,[contact@vapepensales.com],1364,705813322834678,https://www.facebook.com/VapePenSales/,Vape Pen Sales,http://VapePenSales.com
15,Clothing (Brand),,73656,102367259309,https://www.facebook.com/ulace/,U-Lace No-Tie Sneaker Laces,http://www.u-lace.com
16,Retail Company,,819,349111402146949,https://www.facebook.com/gianthugs/,Giant Hugs,http://www.gianthugs.com
